Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
14387,N,101,CEDI,2790 GAIA COFFEE TRADING S.A.,"134,208.64 Viernes 15 Enero 2021          Lunes 18 Enero 2021",,Robot Automatico C
14388,N,101,CEDI,1773 ENERGIA DEPORTIVA S.A.,"428,812.40 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Robot Automatico C
14389,N,101,CEDI,3009 PRODUCTOS ALTYMAR S.A.,"249,494.85 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Robot Automatico C
14390,N,101,CEDI,80 LA NACIONAL S.A.,"209,270.00 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Robot Automatico C
14391,N,101,CEDI,1752 NILOO PASTELERIA GOURMET PERSA S.A.,"49,833.00 Viernes 15 Enero 2021          Sábado 16 Enero 2021",,David Sanchez Rojas
14392,N,101,CEDI,858 PURATOS DE COSTA RICA S.A.,"530,147.41 Viernes 15 Enero 2021          Sábado 16 Enero 2021",,David Sanchez Rojas
14393,N,101,CEDI,2368 BOTTEGA ITALIANA S.A.,"187,250.00 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Gustavo Quesada G
14394,N,101,CEDI,681 DISTRIBUIDORA VALJI S.A.,"947,651.90 Viernes 15 Enero 2021          Lunes 18 Enero 2021",,Gustavo Quesada G
14395,N,101,CEDI,3784 EXPORTADORA PMT S.A. (CEDI),"826,725.00 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Gustavo Quesada G
14396,N,101,CEDI,3536 LATAMARKETS CAM S.A.,"17,485.62 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Gustavo Quesada G
14397,N,101,CEDI,3659 MOUK ENERGY S.A.,"132,942.24 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Gustavo Quesada G
14398,N,101,CEDI,3039 NATURAL BITES S.A.,"551,628.21 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Gustavo Quesada G
14399,N,101,CEDI,2662 ECOSUNRISE GLOBAL COMPANY,"905,290.91 Viernes 15 Enero 2021          Sábado 16 Enero 2021",,Karen  Matarrita Vindas
14400,N,101,CEDI,894 GOLOSINAS SUPER DE COSTA RICA S.A.,"1,195,351.38 Viernes 15 Enero 2021          Lunes 18 Enero 2021",,Karen  Matarrita Vindas
14401,N,101,CEDI,3275 BEL PREMIUM S.A.,"5,978,974.33 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Karen  Matarrita Vindas
14402,N,101,CEDI,3870 CENTRAL VETERINARIA S.A.,"428,054.01 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Karen  Matarrita Vindas
14403,N,101,CEDI,2660 COMPANIA NESTLE COSTA RICA S.A. (CHOCOLATES),"129,469.80 Viernes 15 Enero 2021          Viernes 15 Enero 2021",,Karen  Matarrita Vindas
14404,N,101,CEDI,2657 COMPANIA NESTLE COSTA RICA S.A. (FOODS),"1,600,970.76 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Karen  Matarrita Vindas
14405,N,101,CEDI,2685 COMPANIA NESTLE COSTA RICA S.A. (FRIO),"454,594.39 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Karen  Matarrita Vindas
14406,N,101,CEDI,1676 COMPANIA NESTLE COSTA RICA S.A. (PURINA),"6,541,052.34 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Karen  Matarrita Vindas
14407,N,101,CEDI,1694 COOPERATIVA DE CAFICULTORES DE DOTA R.L.,"270,411.59 Viernes 15 Enero 2021          Lunes 18 Enero 2021",,Karen  Matarrita Vindas
14408,N,101,CEDI,3204 CORPORACION MANZATE DE CENTROAMERICA S.A.,"1,208,449.38 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Karen  Matarrita Vindas
14409,N,101,CEDI,3517 IMPORTACIONES Y DISTRIBUCIONES JOTA Y CE S.A.,"1,933,098.66 Viernes 15 Enero 2021          Lunes 18 Enero 2021",,Karen  Matarrita Vindas
14410,N,101,CEDI,2405 KPO ALPHA INC. S.A.,"3,268,447.20 Viernes 15 Enero 2021          Martes 19 Enero 2021",,Karen  Matarrita Vindas
14411,N,101,CEDI,3873 HACIEDA JUAN VINAS S.A.,"1,245,675.42 Viernes 15 Enero 2021          Lunes 18 Enero 2021",,Karen  Matarrita Vindas
14412,N,101,CEDI,3742 CORPORACION MANZATE DE CENTROAMERICA S.A (INSUMOS),"2,570.75 Viernes 15 Enero 2021          Martes 19 Enero 2021",Karen,Matarrita Vindas
14413,N,101,CEDI,704 ALMACEN SALVADOR RAMIREZ S.A.,"6,108,302.79 Viernes 15 Enero 2021          Lunes 18 Enero 2021",,Karen  Matarrita Vindas
